url,filename,response
https://dx.doi.org/10.5281/zenodo.6769408,hal-04335580,Resource not found
https://github.com/pmangold/fairness-privacy.,hal-03902203,Resource not found
https://github.com/zykls/folktables.On,hal-03902203,Resource not found
https://github.com/AntoineGauquier/inferring_document_class_of_scientific_article/.,hal-04138880,"{'url': 'https://github.com/AntoineGauquier/inferring_document_class_of_scientific_article', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/AntoineGauquier/inferring_document_class_of_scientific_article/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:27daaf018d87448a51262f5f809d3ab117a06183/authorities/'}"
https://github.com/kermitt2/pdfalto5https://www.loc.gov/standards/alto/Antoine,hal-04138880,Resource not found
https://gitlab.inria.fr/cedar/connectionlensTable,hal-03347947,Resource not found
https://doi.org/10.5281/zenodo.72569885Linux,hal-04388912,Resource not found
http://www.w3.org/TR/2014/NOTE-rdf11-primer-20140624/.Andy,hal-04388912,Resource not found
http://www.w3.org/TR/2013/REC-sparql11-query-20130321/.SPARQL,hal-04388912,Resource not found
https://gitlab.com/PEM360/PEM360/other,hal-03710323,Resource not found
https://hal.archives-ouvertes.fr/hal-00977812,hal-03710323,Resource not found
https://github.com/akisatok/pySaliencyMap,hal-03710323,"{'url': 'https://github.com/akisatok/pySaliencyMap', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/akisatok/pySaliencyMap/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:f0abd9e27144b943024d344e9278dcce1c92bec9/authorities/'}"
https://github.com/NitishMutha/equirectangular-toolbox,hal-03710323,"{'url': 'https://github.com/NitishMutha/equirectangular-toolbox', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/NitishMutha/equirectangular-toolbox/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:2b50ddba4671465e490b9afa58dd2f31ee5fc622/authorities/'}"
https://github.com/khadidjaM/DC-DPM.In,hal-01999453,Resource not found
http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/dt-rur-12-2018.html,hal-01999453,Resource not found
https://github.com/etouss/NULLSurvey.1,hal-03934346,Resource not found
https://github.com/j2launay/APE,hal-03908363,Resource not found
https://github.com/micbuffa/WasabiDataset.Keywords:,hal-03133188,Resource not found
https://github.com/micbuffa/WasabiDataset.3.,hal-03133188,Resource not found
https://github.com/TuringTrain/lyrics_thumbnailing2141,hal-03133188,Resource not found
https://github.com/deezer/deezer_mood_detection_dataset20Depiction,hal-03133188,Resource not found
https://github.com/jsbroks/coco-annotator,hal-03454183,"{'url': 'https://github.com/jsbroks/coco-annotator', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/jsbroks/coco-annotator/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:8eba485269ffa1aa18f86e96e98ce9606bffc334/authorities/'}"
https://doi.org/10.5281/zenodo.5574675,hal-03454183,Resource not found
https://zenodo.org/record/3865263#.YZMUt7oRVPY,hal-03454183,Wrong format of URL
https://github.com/facebookresearch/maskrcnn-benchmark,hal-03454183,"{'url': 'https://github.com/facebookresearch/maskrcnn-benchmark', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/facebookresearch/maskrcnn-benchmark/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:0f162d2bb415c131bb94e07749ef7f22abe341fd/authorities/'}"
https://hal.archives-ouvertes.fr/hal-02918834.Garbout,hal-03139460,Resource not found
https://gitlab.inria.fr/nabbas/lksa.,hal-03512110,Resource not found
http://oaei.ontologymatching.org/2010/im/index.html4.http://oaei.ontologymatching.org/2018/spimbench.html5.https://github.com/lgalarra/vickey,hal-03512110,Resource not found
https://www.w3.org/TR/owl-guide/.Volz,hal-03512110,Resource not found
https://github.com/grasp-algorithm/label-driven-summarization.,hal-02417259,Resource not found
https://github.com/RemiFELIN/RDFMininggraph.,hal-03892080,Resource not found
https://github.com/Wimmics/coreseAlgorithm,hal-03892080,Resource not found
https://github.com/micbuffa/WebAudioPlugins,hal-02366725,"{'url': 'https://github.com/micbuffa/WebAudioPlugins', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/micbuffa/WebAudioPlugins/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:da6a12968391a90f5a2cf2e0e13fa1f1fe834c70/authorities/'}"
https://github.com/j-funk/kissfft-js,hal-02366725,"{'url': 'https://github.com/j-funk/kissfft-js', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/j-funk/kissfft-js/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:90a4babbb2a19973acdc783e3454174c61a453a6/authorities/'}"
https://github.com/j-funk/js-dsp-test/,hal-02366725,Resource not found
http://www.w3.org/2001/XMLSchema#date,hal-03516420,Wrong format of URL
https://github.com/vasturiano/timelines-chart,hal-03516420,"{'url': 'https://github.com/vasturiano/timelines-chart', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/vasturiano/timelines-chart/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:957c1d01a6cc711a2ce8896fd1bac6826208411c/authorities/'}"
