url,filename,response
https://github.com/shenweichen/DeepCTR,hal-02915414,"{'url': 'https://github.com/shenweichen/DeepCTR', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/shenweichen/DeepCTR/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:04495b7c91afbe0ef6a6d31b3aaab2139e24f0d6/authorities/'}"
http://www.w3.org/ns/dcat#distribution.,hal-04351729,Wrong format of URL
https://github.com/dwslab/melt,hal-04351729,"{'url': 'https://github.com/dwslab/melt', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/dwslab/melt/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:76a21566e7b62c4341b3bdcdde1015b4fbb37478/authorities/'}"
https://github.com/monarch-initiative/omim.,hal-04351729,Resource not found
https://github.com/EngyNasr/MSE-Benchmark/releases/tag/v1.1,hal-04351729,Resource not found
https://raw.githubusercontent.com/iNovexIrad/MatOnto-Ontologies/master/matonto-release.ttl,hal-04351729,Resource not found
https://raw.githubusercontent.com/emmo-repo/EMMO/1.0.0-alpha2/emmo.owl,hal-04351729,Resource not found
https://github.com/dwslab/melt/tree/master/examples/kgEvalCli,hal-04351729,Resource not found
https://github.com/silk-framework/silk/issues/57,hal-04351729,"{'url': 'https://github.com/silk-framework/silk/issues/57', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/silk-framework/silk/issues/57/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:18ba7a43d798cb50a88179c3e1cd03717e2abb2b/authorities/'}"
https://github.com/materialdigital/core-ontology/,hal-04351729,Resource not found
https://github.com/okfn-brasil/schemaOrg-Wikidata-Map,hal-04351729,"{'url': 'https://github.com/okfn-brasil/schemaOrg-Wikidata-Map', 'visit_types': ['git'], 'origin_visits_url': 'https://archive.softwareheritage.org/api/1/origin/https://github.com/okfn-brasil/schemaOrg-Wikidata-Map/visits/', 'metadata_authorities_url': 'https://archive.softwareheritage.org/api/1/raw-extrinsic-metadata/swhid/swh:1:ori:09ba300ed327be7643ff8278e7e3fee78de51ebf/authorities/'}"
https://www.w3.org/RDF/,hal-04386268,Resource not found
https://www.w3.org/TR/2013/REC-sparql11-overview-20130321/,hal-04386268,Resource not found
https://gitlab.inria.fr/akatim/sparlqprov-demo.,hal-04386268,Resource not found
https://sites.google.com/view/fgvc9,lirmm-03793595,Resource not found
https://downloads.sourceforge.net/project/bsbmtools/bsbmtools/,hal-02446427,Resource not found
https://gitlab.inria.fr/mburon/org/blob/master/projects/,hal-02446427,Resource not found
https://hal.archives-ouvertes.fr/hal-01927282,hal-02446427,Resource not found
https://www.w3.org/TR/sparql11-query/,hal-02446427,Resource not found
https://www.w3.org/TR/rdf11-concepts/,hal-02446427,Resource not found
https://www.w3.org/TR/rdf11-mt/#rdfs-entailment,hal-02446427,Wrong format of URL
https://github.com/gaudel/ranking,hal-03163763,Resource not found
